Index_no,listing_id,date,availability
689,953595,11/22/2016,1
690,953595,11/23/2016,1
691,953595,11/24/2016,1
692,953595,11/25/2016,1
693,953595,11/26/2016,1
694,953595,11/27/2016,1
695,953595,11/28/2016,1
696,953595,11/29/2016,1
697,953595,11/30/2016,1
698,953595,12/1/2016,1
699,953595,12/2/2016,1
700,953595,12/3/2016,1
701,953595,12/4/2016,1
702,953595,12/5/2016,1
703,953595,12/6/2016,1
704,953595,12/7/2016,1
705,953595,12/8/2016,1
706,953595,12/9/2016,1
707,953595,12/10/2016,1
708,953595,12/11/2016,1
709,953595,12/12/2016,1
710,953595,12/13/2016,1
711,953595,12/14/2016,1
712,953595,12/15/2016,1
713,953595,12/16/2016,1
714,953595,12/17/2016,1
715,953595,12/18/2016,1
716,953595,12/19/2016,1
717,953595,12/20/2016,1
718,953595,12/21/2016,1
719,953595,12/22/2016,1
720,953595,12/23/2016,1
721,953595,12/24/2016,1
722,953595,12/25/2016,1
723,953595,12/26/2016,1
724,953595,12/27/2016,1
725,953595,12/28/2016,1
726,953595,12/29/2016,1
727,953595,12/30/2016,1
728,953595,12/31/2016,1
729,953595,1/1/2017,1
730,953595,1/2/2017,1
731,3308979,1/4/2016,1
732,3308979,1/5/2016,0
733,3308979,1/6/2016,0
734,3308979,1/7/2016,0
735,3308979,1/8/2016,0
736,3308979,1/9/2016,0
737,3308979,1/10/2016,0
738,3308979,1/11/2016,0
739,3308979,1/12/2016,0
740,3308979,1/13/2016,0
741,3308979,1/14/2016,0
742,3308979,1/15/2016,0
743,3308979,1/16/2016,0
744,3308979,1/17/2016,0
745,3308979,1/18/2016,0
746,3308979,1/19/2016,0
747,3308979,1/20/2016,0
748,3308979,1/21/2016,0
749,3308979,1/22/2016,0
750,3308979,1/23/2016,0
751,3308979,1/24/2016,0
752,3308979,1/25/2016,0
753,3308979,1/26/2016,0
754,3308979,1/27/2016,0
755,3308979,1/28/2016,0
756,3308979,1/29/2016,0
757,3308979,1/30/2016,0
758,3308979,1/31/2016,0
759,3308979,2/1/2016,0
760,3308979,2/2/2016,0
761,3308979,2/3/2016,0
762,3308979,2/4/2016,0
763,3308979,2/5/2016,0
764,3308979,2/6/2016,0
765,3308979,2/7/2016,0
766,3308979,2/8/2016,0
767,3308979,2/9/2016,0
768,3308979,2/10/2016,0
769,3308979,2/11/2016,0
770,3308979,2/12/2016,1
771,3308979,2/13/2016,1
