cancellation_id,listing_id,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month
473,7035240,f,flexible,1,
474,4583161,f,moderate,1,2.07
475,7967844,t,moderate,1,6.1
476,6562393,f,flexible,1,0.97
477,7807087,f,strict,1,2.54
478,5405643,f,moderate,1,5.98
479,7011200,f,flexible,1,1.92
480,610989,f,strict,1,0.04
481,7839535,f,flexible,2,1.13
482,4814894,t,flexible,1,2.34
483,186328,f,strict,1,0.04
484,7492877,f,flexible,1,1.3
485,6576228,f,flexible,1,0.88
486,241016,f,moderate,2,0.67
487,6968101,f,moderate,1,1.24
488,5648564,f,strict,1,0.41
489,4116645,f,flexible,1,1.36
490,2419879,f,flexible,1,0.32
491,6425735,f,moderate,1,0.14
492,8105351,t,strict,1,2.86
493,9136499,f,flexible,1,
494,3639023,f,moderate,1,1.18
495,6724599,f,moderate,1,1.93
496,4211629,f,moderate,1,0.51
497,7151924,f,moderate,1,1.84
498,704764,f,moderate,1,3.02
499,1796217,f,strict,6,0.6
500,4661812,f,strict,1,1.39
501,8811945,f,moderate,1,
502,1090307,f,flexible,1,2.48
503,15108,f,moderate,3,0.77
504,1882316,f,flexible,1,1.62
505,1095207,f,strict,1,0.07
506,1343805,f,flexible,1,0.04
507,9217150,f,moderate,1,1.55
508,103920,f,strict,2,0.03
509,2215336,f,strict,1,0.23
510,1483944,f,moderate,2,1.97
511,6466129,f,strict,1,5.62
512,8536441,f,strict,1,2.14
513,6262987,f,moderate,2,1.51
514,8379081,t,moderate,1,1.42
515,8365938,f,flexible,1,0.36
516,9921445,f,strict,8,
517,132160,f,strict,2,2.51
518,2033191,f,moderate,1,2.76
519,8849407,t,flexible,1,
520,9922335,f,strict,8,
521,7243974,f,strict,1,1.01
522,6490453,f,moderate,1,2.06
523,4025593,f,moderate,1,7.02
524,8556103,f,moderate,1,2
525,955506,f,strict,1,0.65
526,9868607,f,moderate,1,
527,8668073,f,strict,1,
528,790860,f,moderate,1,0.12
529,261912,f,strict,2,0.62
530,368403,f,strict,1,0.18
531,9878971,f,moderate,1,
532,5602370,f,strict,1,0.25
533,9395217,f,moderate,1,
534,7331079,f,strict,1,0.21
535,580182,t,moderate,1,2.3
536,8152191,t,moderate,1,2.77
537,103908,f,moderate,2,0.09
538,783061,f,flexible,2,0.9
539,7901725,f,flexible,1,
540,4968752,f,flexible,1,4.36
541,14386,f,strict,3,0.46
542,7517215,f,flexible,2,0.63
543,1602421,f,moderate,3,0.72
544,3821822,f,moderate,1,4.57
545,6073437,f,moderate,1,3.39
546,7917700,f,flexible,2,0.22
547,6278181,f,moderate,2,0.45
548,4279578,f,moderate,1,3.25
549,9907337,f,strict,1,
550,1796861,f,strict,2,0.8
551,4211836,f,flexible,1,0.27
552,4025954,f,flexible,1,2.06
553,6154478,f,flexible,1,1.74
554,84030,f,strict,1,1.04
555,4235559,f,strict,1,0.9
556,830948,f,strict,2,0.09
557,3468261,f,moderate,1,0.4
558,10026648,f,flexible,1,
559,9117633,f,moderate,1,
560,9158383,f,flexible,1,
561,1145590,f,strict,2,0.26
562,5020848,f,flexible,1,
563,9600159,f,flexible,1,
564,3522409,t,strict,1,7.63
565,9492873,f,flexible,1,1.62
566,5534463,f,strict,1,0.92
567,9409233,f,flexible,1,
568,9531265,f,flexible,1,
569,5364609,f,flexible,1,0.57
570,6629132,f,flexible,1,1.62
571,5489676,f,strict,2,0.26
572,9347157,f,moderate,1,3.75
573,10035644,f,strict,1,
574,8293287,t,moderate,1,2.14
575,910784,f,moderate,1,4.39
576,7071222,f,strict,3,0.6
577,8687716,f,flexible,4,0.71
578,7430679,f,flexible,1,1.4
579,180939,f,strict,2,1.72
580,6884604,f,strict,3,3.91
581,7397476,f,strict,10,1.41
582,1063855,f,strict,2,0.36
583,8865006,f,flexible,1,
584,8069192,f,flexible,1,
585,2800448,f,moderate,1,2.77
586,9076287,f,flexible,2,1.46
587,7462439,f,strict,1,0.18
588,8225635,f,strict,10,
589,2966415,f,moderate,1,1.35
590,4639465,f,moderate,1,1.12
591,7402190,f,flexible,2,4.97
592,9448719,f,flexible,1,
593,5670781,f,moderate,1,2.9
594,1905473,f,flexible,1,0.31
595,7266662,f,flexible,1,1.94
596,9095510,f,flexible,2,
597,7401854,f,flexible,2,1.75
598,5174876,f,flexible,1,5.38
599,1256883,f,strict,3,2.19
600,8072850,f,moderate,1,0.5
601,6706377,f,moderate,1,0.94
602,9738522,f,strict,10,
603,2995996,f,flexible,3,1.49
604,6674408,t,flexible,2,6.43
605,6801095,f,moderate,1,1.64
606,143704,f,moderate,1,3.29
607,9258305,f,flexible,1,
608,3727017,f,strict,1,0.19
609,789966,f,moderate,1,1.6
610,6864319,f,flexible,2,0.22
611,1539463,f,moderate,1,1.1
612,9591787,f,strict,10,
613,10279830,f,moderate,1,
614,1956553,f,strict,1,2.41
615,7396508,f,strict,10,2.19
616,6272065,f,moderate,1,1.6
617,7072218,f,flexible,1,1.36
618,7075948,f,strict,1,0.23
619,7543458,f,flexible,3,5.32
620,3769336,f,moderate,1,2.77
621,8666707,f,moderate,1,0.64
622,7205443,f,strict,3,1.69
623,193371,f,strict,3,0.62
624,9957555,f,strict,1,2
625,6795678,f,moderate,1,4.11
626,9300972,f,flexible,2,1
627,8047522,f,strict,10,1.01
628,9457328,f,moderate,1,
629,6576006,f,flexible,2,7.2
630,7971334,f,flexible,1,6.22
631,1984962,f,strict,4,1.07
632,9292039,f,strict,3,0.77
633,6661617,f,strict,1,2.52
634,8848854,f,flexible,1,0.77
635,3251069,f,flexible,2,0.32
636,4111137,f,moderate,1,1.28
637,4760472,f,moderate,1,3.58
638,8968925,f,flexible,1,
639,3293438,f,moderate,1,4.63
640,9210978,f,flexible,1,0.48
641,3319386,f,strict,1,2.34
642,7717813,f,strict,1,2.6
643,5578943,t,moderate,1,4.37
644,7660932,f,strict,2,2.19
645,4271221,f,flexible,1,5.35
646,6358605,f,flexible,1,0.88
647,1439237,f,flexible,2,1.98
648,7775167,f,moderate,1,2.21
649,7437784,f,moderate,2,
650,9628972,f,flexible,1,
651,8425013,t,strict,1,0.9
652,6925807,f,strict,1,0.2
653,7400955,t,moderate,1,0.58
654,8174389,f,flexible,1,0.29
655,6292452,f,moderate,1,0.15
656,9095668,f,moderate,1,
657,413733,f,moderate,1,5.08
658,8783900,f,strict,1,0.68
659,639130,f,strict,1,0.37
660,2484067,f,moderate,2,1.41
661,3533112,f,strict,1,0.7
662,2249292,f,strict,2,2.81
663,7838294,f,flexible,1,
664,6133354,f,flexible,1,3.24
665,7987836,f,strict,1,0.63
666,9910025,f,moderate,1,1
667,7364024,f,moderate,1,1.88
668,9362082,f,flexible,1,1
669,8847108,f,strict,1,4.23
670,7462428,f,flexible,1,2.04
671,4370312,t,moderate,1,4
672,4053972,f,moderate,1,4.05
673,6209191,f,moderate,1,0.88
674,10123910,f,strict,1,
675,6412858,f,moderate,2,0.61
676,3987838,f,moderate,1,1.34
677,7027507,f,moderate,1,0.24
678,6587443,f,moderate,2,1.13
679,10204689,f,flexible,1,
680,1029680,f,strict,1,0.32
681,7208439,t,moderate,1,2.24
682,8327765,f,strict,1,
683,3953611,f,strict,1,3.22
684,2584354,f,moderate,1,0.98
685,4574700,f,strict,1,0.32
686,5685646,f,flexible,1,6.9
687,977722,f,flexible,1,1.89
688,2931922,f,moderate,34,0.59
689,8253955,f,moderate,1,0.98
690,6426462,f,moderate,34,0.29
691,8154238,f,strict,37,
692,5020861,f,strict,1,1.36
693,9611409,f,flexible,1,
694,9282348,t,flexible,1,
695,8939306,t,strict,21,5.53
696,5423692,f,moderate,2,3.72
697,9159975,f,strict,2,
