type_no,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
384,6714817,Apartment,Entire home/apt,2,1,1,1,Real Bed,
385,3773700,House,Entire home/apt,4,1.5,3,2,Real Bed,
386,3773568,House,Entire home/apt,6,2.5,2,3,Real Bed,
387,9313974,House,Private room,1,1,1,1,Real Bed,
388,6492880,Apartment,Entire home/apt,3,1,1,1,Real Bed,
389,4879013,Apartment,Entire home/apt,4,1,2,3,Real Bed,
390,3732094,House,Shared room,1,1,1,1,Real Bed,
391,873073,House,Entire home/apt,4,1,2,1,Real Bed,1600
392,234898,House,Entire home/apt,3,1,1,2,Real Bed,
393,8533375,Apartment,Entire home/apt,2,1,1,1,Real Bed,
394,6854019,House,Entire home/apt,8,3.5,3,3,Real Bed,
395,8418650,Apartment,Entire home/apt,4,1,2,3,Real Bed,
396,3732076,House,Shared room,1,1,1,1,Real Bed,
397,4608592,House,Entire home/apt,6,1,2,4,Real Bed,
398,4862719,House,Private room,2,1,1,1,Real Bed,
399,668169,House,Private room,3,1,1,2,Real Bed,
400,429453,House,Private room,2,2.5,1,1,Real Bed,
401,10124808,House,Private room,2,1,1,2,Real Bed,
402,7459684,House,Entire home/apt,6,1,2,2,Real Bed,
403,5992645,House,Entire home/apt,4,1,2,2,Real Bed,
404,7917718,House,Private room,2,1,1,1,Real Bed,
405,2986056,House,Shared room,1,1,1,1,Real Bed,
406,2011193,House,Entire home/apt,7,2,3,5,Real Bed,
407,3768626,House,Entire home/apt,2,1,0,1,Real Bed,
408,2026794,House,Private room,2,1,1,1,Real Bed,
409,9154294,House,Entire home/apt,4,1,1,1,Real Bed,
410,430610,House,Entire home/apt,8,3,3,3,Real Bed,
411,3231850,Loft,Entire home/apt,3,1,0,2,Real Bed,
412,2976798,House,Private room,2,1,1,1,Real Bed,
413,703058,House,Entire home/apt,4,1,2,2,Real Bed,1200
414,7826541,Apartment,Entire home/apt,2,1,1,1,Real Bed,
415,240920,House,Private room,3,1,1,2,Real Bed,
416,6655233,House,Private room,3,1,1,2,Real Bed,
417,9866461,Apartment,Private room,2,1,1,2,Real Bed,
418,7957729,House,Entire home/apt,5,2.5,2,3,Real Bed,
419,1428687,Apartment,Entire home/apt,4,1,1,1,Real Bed,
420,4803403,Apartment,Entire home/apt,2,1,1,1,Real Bed,
421,11012,House,Entire home/apt,8,2,3,3,Real Bed,
422,3888924,House,Shared room,1,1,1,1,Real Bed,
423,8842808,House,Entire home/apt,5,1,2,2,Real Bed,
424,1114695,House,Entire home/apt,8,2.5,3,3,Airbed,1600
425,1715582,House,Private room,2,1.5,1,1,Real Bed,
426,6704734,House,Entire home/apt,4,1,1,2,Real Bed,
427,8555098,House,Private room,2,1,1,1,Real Bed,
428,1214316,House,Private room,2,1,1,1,Real Bed,
429,7325455,Bungalow,Entire home/apt,2,1,0,1,Real Bed,
430,6325685,House,Entire home/apt,3,1,0,1,Real Bed,
431,9596,Apartment,Entire home/apt,6,1,1,6,Real Bed,
432,9568491,Apartment,Shared room,2,1,1,1,Couch,
433,1747184,House,Entire home/apt,12,3,6,6,Real Bed,
434,8653843,Apartment,Private room,2,1,1,1,Real Bed,
435,6727729,House,Entire home/apt,6,1,2,2,Real Bed,
